"data_sheet","collection_date","site","habitat","experiment_date","collection_temp","exp_start","exp_end","ramp_start","water_bath","thermometer","exp_notes","tube","ctmax","order","genus","species","author","year","instar","sex","eggs","body_length_um","id_notes","low_lat","low_lat_elevation","high_lat","high_lat_elevation","lat_range","elev_range","mean_gs"
9,"2025-07-22","Drawsko","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Drawsko - calanoid",8,32.1,"Calanoid","Eudiaptomus","graciloides","(Lilljeborg)",1888,"CVI","female","present",1128.5,"",NA,NA,NA,NA,NA,NA,3.54719687718
9,"2025-07-22","Drawsko","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Drawsko - calanoid",9,34.7,"Calanoid","Eudiaptomus","graciloides","(Lilljeborg)",1888,"CVI","female","present",1177.2,"",NA,NA,NA,NA,NA,NA,3.54719687718
9,"2025-07-22","Drawsko","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Drawsko - cyclops",10,29.6,"Cyclopoid","Cyclops","scutifer","(Sars G.O.)",1863,"CVI","female","present",1285,"",41.5,268,81.8,156,40.3,112,NA
9,"2025-07-22","Drawsko","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Drawsko - calanoid",11,34.7,"Calanoid","Eudiaptomus","graciloides","(Lilljeborg)",1888,"CVI","female","present",1143.9,"",NA,NA,NA,NA,NA,NA,3.54719687718
9,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Sicieno - cyclops",12,30,"Cyclopoid","Cyclops","scutifer","(Sars G.O.)",1863,"CVI","female","absent",1240,"",41.5,268,81.8,156,40.3,112,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"mesocyclops?",1,35.9,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","absent",1165,"",34.4,NA,72.4,10,38,NA,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"cyclopoid",2,37.7,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","present",1275,"",36.6,NA,70.6,256,34,NA,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"cyclopoid",3,36.2,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","present",1290,"",36.6,NA,70.6,256,34,NA,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"mesocyclops",4,37.3,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","present",1290,"egg sac detached  from the body, in the vial",36.6,NA,70.6,256,34,NA,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"eucyclops?",5,36.9,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","absent",1185,"",36.6,NA,70.6,256,34,NA,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"megacyclops",6,32.9,"Cyclopoid","Megacyclops","viridis","(Jurine)",1820,"CVI","female","absent",1820,"",33.4,1864,72.4,12,39,1852,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"mesocyclops",7,35.8,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","present",1085,"one egg sac only,  detached from the body",34.4,NA,72.4,10,38,NA,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"macrocyclops",8,36.6,"Cyclopoid","Macrocyclops","albidus","(Jurine)",1820,"CVI","female","absent",1805,"",0,1523,72.4,12,72.4,1511,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"eucyclops",9,37.6,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","present",1370,"",36.6,NA,70.6,256,34,NA,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"eucyclops",10,36.8,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","present",1355,"",36.6,NA,70.6,256,34,NA,NA
11,"2025-07-23","Insko","littoral","2025-07-23",21,NA,NA,21,4,3,"eucyclops",11,34.5,"Cyclopoid","Eucyclops","macruroides","(Lilljeborg)",1901,"CVI","female","absent",1330,"",34.4,NA,71.5,50,37.1,NA,NA
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"heterocop",1,32.9,"Calanoid","Heterocope","appendiculata","Sars G.O.",1863,"CVI","female","absent",2411.5,"",NA,NA,NA,NA,NA,NA,5.76802394434091
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"meso",2,35.8,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","present",1075,"One Daphnia was also present in the vial.",34.4,NA,72.4,10,38,NA,NA
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"heterocope",3,33.3,"Calanoid","Heterocope","appendiculata","Sars G.O.",1863,"CVI","female","absent",2171.3,"",NA,NA,NA,NA,NA,NA,5.76802394434091
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"meso",4,35.5,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","absent",1105,"",34.4,NA,72.4,10,38,NA,NA
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"eudiapt",5,34.6,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","absent",1210.2,"",NA,NA,NA,NA,NA,NA,4.4749244646
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"eudiapt",7,35.1,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","absent",1173.4,"",NA,NA,NA,NA,NA,NA,4.4749244646
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"calanoida",8,33.8,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","present",1241.2,"",NA,NA,NA,NA,NA,NA,4.4749244646
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"eudiapt",9,34.6,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","present",1173.2,"",NA,NA,NA,NA,NA,NA,4.4749244646
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"cyclopoid (only large); the bigger cyclopoid only preserved L.S.",10,36.3,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","present",1110," few eggs only",34.4,NA,72.4,10,38,NA,NA
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"eudiapt",11,34.9,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","present",1130.3,"",NA,NA,NA,NA,NA,NA,4.4749244646
8,"2025-07-23","Insko","surface","2025-07-23",21.6,"19:30",NA,23.3,2,2,"eudiapt",12,35.3,"Calanoid","","sp.",NA,NA,"","","absent",NA,"lack of specimen in the tube",NA,NA,NA,NA,NA,NA,NA
