"code,""order""";Genus;Species;Author;Year;Instar;Sex;Eggs;Body length (um);Notes;;
"1204,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;;1286,6;;;
"1205,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.) ;1863;CVI;female;;665;;;
"1206,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.) ;1863;CVI;female;P;710;;;
"1207,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1259;;;
"1208,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;;650;;;
"1209,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;P;655;;;
"1210,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1361,5;;;
"1211,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;;720;Urosome was lost after the measuring.;;
"1212,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1302,2;;;
"1301,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1230;;;
"1302,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1750;;;
"1303,""Cyclopoid""";ergasilid;;;;CV;male;;950;Maxillipeds are present (absent in female in the Ergasilidae);;
"1304,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1740;;;
"1306,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1330;;;
"1307,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1560;;;
"1308,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1260,9;;;
"1309,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1207,6;;;
"1310,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1610;;;
"1311,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1750;;;
"1312,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1249;;;
"1401,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;980;;;
"1402,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;;1256;;;
"1403,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;930;Few eggs;;
"1405,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1306;;;
"1406,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;;945;;;
"1407,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;P;705;;;
